ID,Name,Description,CLTS_ID,CLTS_BIPA,CLTS_Name
_u0259u0330,ə̰,,creaky unrounded mid central vowel,ə̰,creaky unrounded mid central vowel
d_u0257u0325,ɗ̥,,devoiced voiced dental implosive consonant,ɗ̥,devoiced voiced dental implosive consonant
t_u0074,t,,voiceless alveolar stop consonant,t,voiceless alveolar stop consonant
e_u0065,e,,unrounded close-mid front vowel,e,unrounded close-mid front vowel
w_u0270,ɰ,,voiced velar approximant consonant,ɰ,voiced velar approximant consonant
g_u0261u0330,ɡ̰,,creaky voiced velar stop consonant,g̰,creaky voiced velar stop consonant
k_u006Bu0330,k̰,,creaky voiceless velar stop consonant,k̰,creaky voiceless velar stop consonant
e_u0065u02D0,eː,,long unrounded close-mid front vowel,eː,long unrounded close-mid front vowel
pj_u0070u02B2,pʲ,,palatalized voiceless bilabial stop consonant,pʲ,palatalized voiceless bilabial stop consonant
z_u0292u033A,ʒ̺,,voiced apical post-alveolar sibilant fricative consonant,ʒ̺,voiced apical post-alveolar sibilant fricative consonant
j_u0284,ʄ,,voiced palatal implosive consonant,ʄ,voiced palatal implosive consonant
qh_u0071u02B0,qʰ,,aspirated voiceless uvular stop consonant,qʰ,aspirated voiceless uvular stop consonant
u_u0264,ɤ,,unrounded close-mid back vowel,ɤ,unrounded close-mid back vowel
hm_u02B0u006D,ʰm,,pre-aspirated voiced bilabial nasal consonant,ʰm,pre-aspirated voiced bilabial nasal consonant
i_u0268u0303,ɨ̃,,nasalized unrounded close central vowel,ɨ̃,nasalized unrounded close central vowel
t_u0288,ʈ,,voiceless retroflex stop consonant,ʈ,voiceless retroflex stop consonant
s_u0073u033A,s̺,,voiceless apical alveolar sibilant fricative consonant,s̺,voiceless apical alveolar sibilant fricative consonant
ntj_u006Eu0074u02B2,ntʲ,,pre-nasalized palatalized voiceless alveolar stop consonant,ⁿtʲ,pre-nasalized palatalized voiceless alveolar stop consonant
s_u0073,s,,voiceless alveolar sibilant fricative consonant,s,voiceless alveolar sibilant fricative consonant
o_u006Fu031D,o̝,,raised rounded close-mid back vowel,o̝,raised rounded close-mid back vowel
_u028Cu02D0,ʌː,,long unrounded open-mid back vowel,ʌː,long unrounded open-mid back vowel
tx_u0074u02E3,tˣ,,NA,,
aj_u0061u02B2u02D0,aʲː,,from long unrounded open front to ultra-short unrounded close front diphthong,aːĭ,from long unrounded open front to ultra-short unrounded close front diphthong
r_u027Eu0303,ɾ̃,,nasalized voiced alveolar tap consonant,ɾ̃,nasalized voiced alveolar tap consonant
a_u0061u0303,ã,,nasalized unrounded open front vowel,ã,nasalized unrounded open front vowel
hk_u02B0u006B,ʰk,,pre-aspirated voiceless velar stop consonant,ʰk,pre-aspirated voiceless velar stop consonant
_u0294,ʔ,,voiceless glottal stop consonant,ʔ,voiceless glottal stop consonant
dz_u0256u0290,ɖʐ,,voiced retroflex sibilant affricate consonant,ɖʐ,voiced retroflex sibilant affricate consonant
y_u028E,ʎ,,voiced palatal lateral approximant consonant,ʎ,voiced palatal lateral approximant consonant
w_u0294u0077,ʔw,,pre-glottalized voiced labio-velar approximant consonant,ˀw,pre-glottalized voiced labio-velar approximant consonant
e_u0065u0303u02D0,ẽː,,long nasalized unrounded close-mid front vowel,ẽː,long nasalized unrounded close-mid front vowel
r_u0279,ɹ,,voiced alveolar approximant consonant,ɹ,voiced alveolar approximant consonant
mh_u006Du02B0,mʰ,,aspirated voiced bilabial nasal consonant,mʰ,aspirated voiced bilabial nasal consonant
q_u0071,q,,voiceless uvular stop consonant,q,voiceless uvular stop consonant
tc_u0074u0255,tɕ,,voiceless alveolo-palatal sibilant affricate consonant,tɕ,voiceless alveolo-palatal sibilant affricate consonant
bb_u0062u03B2,bβ,,voiced bilabial affricate consonant,bβ,voiced bilabial affricate consonant
a_u0251,ɑ,,unrounded open back vowel,ɑ,unrounded open back vowel
dz_u0064u007A,dz,,voiced alveolar sibilant affricate consonant,dz,voiced alveolar sibilant affricate consonant
hb_u02B0u0062,ʰb,,pre-aspirated voiced bilabial stop consonant,ʰb,pre-aspirated voiced bilabial stop consonant
_u0295,ʕ,,voiced pharyngeal fricative consonant,ʕ,voiced pharyngeal fricative consonant
i_u0268u0318,ɨ̘,,advanced-tongue-root unrounded close central vowel,ɨ̘,advanced-tongue-root unrounded close central vowel
kh_u006Bu02B0,kʰ,,aspirated voiceless velar stop consonant,kʰ,aspirated voiceless velar stop consonant
b_u0062,b,,voiced bilabial stop consonant,b,voiced bilabial stop consonant
j_u006A,j,,voiced palatal approximant consonant,j,voiced palatal approximant consonant
kw_u006Bu02B7u02D0,kʷː,,labialized long voiceless velar stop consonant,kʷː,labialized long voiceless velar stop consonant
d_u0064u02D0,dː,,long voiced alveolar stop consonant,dː,long voiced alveolar stop consonant
p_u0070,p,,voiceless bilabial stop consonant,p,voiceless bilabial stop consonant
z_u007A,z,,voiced alveolar sibilant fricative consonant,z,voiced alveolar sibilant fricative consonant
ngg_u014Bu0261,ŋɡ,,pre-nasalized voiced velar stop consonant,ⁿg,pre-nasalized voiced velar stop consonant
g_u0260,ɠ,,voiced velar implosive consonant,ɠ,voiced velar implosive consonant
n_u0272u0325,ɲ̥,,devoiced voiced palatal nasal consonant,ɲ̊,devoiced voiced palatal nasal consonant
hw_u0068u02B7,hʷ,,labialized voiceless glottal fricative consonant,hʷ,labialized voiceless glottal fricative consonant
tsh_u0074u0073u02B0,tsʰ,,aspirated voiceless alveolar sibilant affricate consonant,tsʰ,aspirated voiceless alveolar sibilant affricate consonant
l_u006Cu032A,l̪,,voiced dental lateral approximant consonant,l̪,voiced dental lateral approximant consonant
l_u026C,ɬ,,voiceless alveolar lateral fricative consonant,ɬ,voiceless alveolar lateral fricative consonant
i_u026A,ɪ,,unrounded near-close near-front vowel,ɪ,unrounded near-close near-front vowel
ndz_u0273u0256u0290,ɳɖʐ,,pre-nasalized voiced retroflex sibilant affricate consonant,ⁿɖʐ,pre-nasalized voiced retroflex sibilant affricate consonant
b_u03B2,β,,voiced bilabial fricative consonant,β,voiced bilabial fricative consonant
