ID,Name,Description,CLTS_ID,CLTS_BIPA,CLTS_Name
_u0259,ə,,unrounded mid central vowel,ə,unrounded mid central vowel
h_u0068,h,,voiceless glottal fricative consonant,h,voiceless glottal fricative consonant
e_u025B,ɛ,,unrounded open-mid front vowel,ɛ,unrounded open-mid front vowel
w_u026Fu02D0,ɯː,,long unrounded close back vowel,ɯː,long unrounded close back vowel
ph_u0070u02B0,pʰ,,aspirated voiceless bilabial stop consonant,pʰ,aspirated voiceless bilabial stop consonant
dz_u0294u0064u0292,ʔdʒ,,pre-glottalized voiced post-alveolar sibilant affricate consonant,ˀdʒ,pre-glottalized voiced post-alveolar sibilant affricate consonant
ngw_u014Bu02B7,ŋʷ,,labialized voiced velar nasal consonant,ŋʷ,labialized voiced velar nasal consonant
u_u0264u0303,ɤ̃,,nasalized unrounded close-mid back vowel,ɤ̃,nasalized unrounded close-mid back vowel
e_u025C,ɜ,,unrounded open-mid central vowel,ɜ,unrounded open-mid central vowel
d_u0257,ɗ,,voiced dental implosive consonant,ɗ,voiced dental implosive consonant
g_u0261,ɡ,,voiced velar stop consonant,g,voiced velar stop consonant
o_u00F8,ø,,rounded close-mid front vowel,ø,rounded close-mid front vowel
h_u0068u0303,h̃,,nasalized voiceless glottal fricative consonant,h̃,nasalized voiceless glottal fricative consonant
i_u0268u0303u02D0,ɨ̃ː,,long nasalized unrounded close central vowel,ɨ̃ː,long nasalized unrounded close central vowel
kjh_u006Bu02B2u02B0,kʲʰ,,palatalized aspirated voiceless velar stop consonant,kʲʰ,palatalized aspirated voiceless velar stop consonant
tsj_u0074u0073u02B2,tsʲ,,palatalized voiceless alveolar sibilant affricate consonant,tsʲ,palatalized voiceless alveolar sibilant affricate consonant
j_u0294u02B2,ʔʲ,,palatalized voiceless glottal stop consonant,ʔʲ,palatalized voiceless glottal stop consonant
l_u026D,ɭ,,voiced retroflex lateral approximant consonant,ɭ,voiced retroflex lateral approximant consonant
i_u0069u0330,ḭ,,creaky unrounded close front vowel,ḭ,creaky unrounded close front vowel
th_u03B8,θ,,voiceless dental fricative consonant,θ,voiceless dental fricative consonant
tj_u0074u02B2,tʲ,,palatalized voiceless alveolar stop consonant,tʲ,palatalized voiceless alveolar stop consonant
j_u006Au0303,j̃,,nasalized voiced palatal approximant consonant,j̃,nasalized voiced palatal approximant consonant
n_u0272,ɲ,,voiced palatal nasal consonant,ɲ,voiced palatal nasal consonant
a_u0252,ɒ,,rounded open back vowel,ɒ,rounded open back vowel
