ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Value_in_Source
46,Achagua,u_u0075u02D0,uː,,,melendez2000a,uː
47,Achagua,e_u0065,e,,,melendez2000a,e
48,Achagua,e_u0065u02D0,eː,,,melendez2000a,eː
49,Achagua,o_u006F,o,,,melendez2000a,o
50,Achagua,o_u006Fu02D0,oː,,,melendez2000a,oː
51,Achagua,a_u0061,a,,,melendez2000a,a
52,Achagua,a_u0061u02D0,aː,,,melendez2000a,aː
53,Ache,p_u0070,p,,,roessler2008a,p
54,Ache,b_u0062,b,,,roessler2008a,b
55,Ache,t_u0074,t,,,roessler2008a,t
56,Ache,d_u0064,d,,,roessler2008a,d
57,Ache,ts_u0074u0283,tʃ,,,roessler2008a,tʃ
58,Ache,dz_u0064u0292,dʒ,,,roessler2008a,dʒ
59,Ache,k_u006B,k,,,roessler2008a,k
60,Ache,g_u0261,ɡ,,,roessler2008a,ɡ
61,Ache,_u0294,ʔ,,,roessler2008a,ʔ
62,Ache,mb_u006Du0062,mb,,,roessler2008a,mb
63,Ache,nd_u006Eu0064,nd,,,roessler2008a,nd
64,Ache,ndz_u006Eu0064u0292,ndʒ,,,roessler2008a,ndʒ
65,Ache,ngg_u014Bu0261,ŋɡ,,,roessler2008a,ŋɡ
66,Ache,f_u0278,ɸ,,,roessler2008a,ɸ
67,Ache,b_u03B2,β,,,roessler2008a,β
68,Ache,v_u0076,v,,,roessler2008a,v
69,Ache,m_u006D,m,,,roessler2008a,m
70,Ache,n_u006E,n,,,roessler2008a,n
71,Ache,n_u0272,ɲ,,,roessler2008a,ɲ
72,Ache,j_u006A,j,,,roessler2008a,j
73,Ache,w_u0077,w,,,roessler2008a,w
74,Ache,r_u027E,ɾ,,,roessler2008a,ɾ
75,Ache,i_u0069,i,,,roessler2008a,i
76,Ache,i_u0069u0303,ĩ,,,roessler2008a,ĩ
77,Ache,i_u0268,ɨ,,,roessler2008a,ɨ
78,Ache,i_u0268u0303,ɨ̃,,,roessler2008a,ɨ̃
79,Ache,u_u0075,u,,,roessler2008a,u
80,Ache,u_u0075u0303,ũ,,,roessler2008a,ũ
81,Ache,e_u0065,e,,,roessler2008a,e
82,Ache,e_u0065u0303,ẽ,,,roessler2008a,ẽ
83,Ache,o_u006F,o,,,roessler2008a,o
84,Ache,o_u006Fu0303,õ,,,roessler2008a,õ
85,Ache,a_u0061,a,,,roessler2008a,a
86,Ache,a_u0061u0303,ã,,,roessler2008a,ã
87,Achuar,p_u0070,p,,,fast1975a,p
88,Achuar,t_u0074,t,,,fast1975a,t
89,Achuar,k_u006B,k,,,fast1975a,k
90,Achuar,_u0294,ʔ,,,fast1975a,ʔ
91,Achuar,ts_u0074u0073,ts,,,fast1975a,ts
92,Achuar,ts_u0074u0283,tʃ,,,fast1975a,tʃ
93,Achuar,s_u0073,s,,,fast1975a,s
94,Achuar,s_u0283,ʃ,,,fast1975a,ʃ
95,Achuar,x_u0078,x,,,fast1975a,x
96,Achuar,m_u006D,m,,,fast1975a,m
97,Achuar,n_u006E,n,,,fast1975a,n
98,Achuar,ng_u014B,ŋ,,,fast1975a,ŋ
99,Achuar,j_u006A,j,,,fast1975a,j
100,Achuar,w_u0077,w,,,fast1975a,w
101,Achuar,r_u027E,ɾ,,,fast1975a,ɾ
102,Achuar,i_u0069,i,,,fast1975a,i
103,Achuar,i_u0069u0303,ĩ,,,fast1975a,ĩ
104,Achuar,i_u0069u02D0,iː,,,fast1975a,iː
105,Achuar,i_u0268,ɨ,,,fast1975a,ɨ
106,Achuar,i_u0268u0303,ɨ̃,,,fast1975a,ɨ̃
107,Achuar,i_u0268u02D0,ɨː,,,fast1975a,ɨː
108,Achuar,u_u0075,u,,,fast1975a,u
109,Achuar,u_u0075u0303,ũ,,,fast1975a,ũ
110,Achuar,u_u0075u02D0,uː,,,fast1975a,uː
111,Achuar,a_u0061,a,,,fast1975a,a
112,Achuar,a_u0061u0303,ã,,,fast1975a,ã
113,Achuar,a_u0061u02D0,aː,,,fast1975a,aː
114,Aguaruna,p_u0070,p,,,overall2007a,p
115,Aguaruna,t_u0074,t,,,overall2007a,t
116,Aguaruna,k_u006B,k,,,overall2007a,k
117,Aguaruna,_u0294,ʔ,,,overall2007a,ʔ
118,Aguaruna,ts_u0074u0073,ts,,,overall2007a,ts
119,Aguaruna,ts_u0074u0283,tʃ,,,overall2007a,tʃ
120,Aguaruna,s_u0073,s,,,overall2007a,s
121,Aguaruna,s_u0283,ʃ,,,overall2007a,ʃ
122,Aguaruna,h_u0068,h,,,overall2007a,h
123,Aguaruna,m_u006D,m,,,overall2007a,m
124,Aguaruna,n_u006E,n,,,overall2007a,n
125,Aguaruna,b_u03B2u031E,β̞,,,overall2007a,β̞
126,Aguaruna,j_u006A,j,,,overall2007a,j
127,Aguaruna,w_u0270,ɰ,,,overall2007a,ɰ
