ID	Name	SAPHON_Code	Family	Country
Shipibo	Shipibo	shp	Panoan	Peru
Shiwilu	Shiwilu	jeb	Cahuapanan	Peru
Shuar	Shuar	jiv	Jivaroan	Ecuador
Siona	Siona	snn	Tucanoan	Ecuador, Colombia
Siriano	Siriano	sri	Tucanoan	Brazil, Colombia
Siriono	Sirionó	srq	Tupí	Bolivia
Suruaha	Suruahá	swx	Arawan	Brazil
Surui	Suruí	sru	Tupí	Brazil
Suya	Suyá	suy	Macro-Ge	Brazil
Tacana	Tacana	tna	Tacanan	Bolivia
TanimucaR	Tanimuca-Retuarã	tnc	Tucanoan	Colombia
Tapayuna	Tapayuna	suy_tap	Macro-Ge	Brazil
Tapiete	Tapieté	tpj	Tupí	Argentina, Bolivia
Tapirape	Tapirapé	taf	Tupí	Brazil
Tariana	Tariana	tae	Arawak	Colombia, Brazil
Tatuyo	Tatuyo	tav	Tucanoan	Colombia
Taushiro	Taushiro	trr	Isolate	Peru
Tehuelche	Tehuelche	teh	Chon	Argentina
Tembe	Tembé	tqb	Tupí	Brazil
TenaQ	Tena Quechua	quw	Quechua	Ecuador
Tenharim	Tenharim	pah	Tupí	Brazil
Terena	Terêna	ter	Arawak	Brazil
TicunaC	Ticuna of Cushillococha	tca_cus	Isolate	Peru
TicunaA	Ticuna of San Martín de Amacayacu	tca_ama	Isolate	Colombia
Tinigua	Tinigua	tit	Isolate	Colombia
TobaLany	Toba (Lañagashik dialect)	tob_lng	Guaicuru	Paraguay, Bolivia
TobaTak	Toba (Takshek dialect)	tob_tks	Guaicuru	Argentina, Bolivia, Paraguay
Trinitario	Trinitario	trn	Arawak	Bolivia
Trio	Trió	tri	Carib	Suriname, Brazil
Trumai	Trumai	tpy	Isolate	Brazil
Tsafiki	Tsáfiki	cof	Barbacoan	Ecuador
Tsimane	Tsimané	cas_tsi	Mosetenan	Bolivia
Tucano	Tucano	tuo	Tucanoan	Brazil, Colombia
Tunebo	Tunebo (Central dialect)	tuf	Chibchan	Colombia, Venezuela
Tupari	Tuparí	tpr	Tupí	Brazil
Tupinamba	Tupinambá	tpn	Tupí	Brazil
Tuyuca	Tuyuca	tue	Tucanoan	Brazil, Colombia
Umotina	Umotína	umo	Macro-Ge	Brazil
Urarina	Urarina	ura	Isolate	Peru
Uru	Uru	ure	Uru-Chipaya	Bolivia
UruEuWauWau	Uru-Eu-Wau-Wau	urz	Tupí	Brazil
Vilela	Vilela	vil	Isolate	Argentina
Waimaha	Waimaha	bao	Tucanoan	Brazil, Colombia
WaimiriA	Waimiri-Atroarí	atr	Carib	Brazil
Waiwai	Waiwai	waw	Carib	Brazil, Guyana
Waorani	Waorani	auc	Isolate	Ecuador
Wapichana	Wapichana	wap	Arawak	Brazil, Guyana
Warao	Warao	wba	Isolate	Venezuela, Suriname, Guyana
Warekena	Warekena	gae	Arawak	Venezuela, Brazil
Wari	Wari'	pav	Chapakuran	Brazil
Waura	Waurá	wau	Arawak	Brazil
WayampiAJ	Wayampi (Alto Jarí dialect)	oym_jri	Tupí	French Guiana, Brazil
WayampiAmp	Wayampi (Ampari dialect)	oym_amp	Tupí	French Guiana, Brazil
Wayana	Wayana	way	Carib	Brazil, French Guiana, Suriname
Wayoro	Wayoró	wyr	Tupí	Brazil
Wayuu	Wayúu	guc	Arawak	Venezuela, Colombia
WichiMP	Wichí (Mision la Paz dialect)	mtp	Mataco	Argentina
WounMeu	Woun Meu	noa	Choco	Colombia
Xavante	Xavánte	xav	Macro-Ge	Brazil
Xerente	Xerénte	xer	Macro-Ge	Brazil
Xeta	Xetá	xet	Tupí	Brazil
Xipaya	Xipaya	xiy	Tupí	Brazil
Xiriana	Xiriâna	xir	Arawak	Brazil
Xokleng	Xokleng	xok	Macro-Ge	Brazil
Yaathe	Yaathe	fun	Macro-Ge	Brazil
Yabarana	Yabarana	yar	Carib	Venezuela
Yagua	Yagua	yad	Peba-Yaguan	Peru
Yamana	Yahgan	yag	Isolate	Chile
Yameo	Yameo	yme	Peba-Yaguan	Peru
Yaminahua	Yaminawa	yaa	Panoan	Brazil, Bolivia, Peru
Yanesha	Yánesha	ame	Arawak	Peru
YanomaeD	Yanomae of Demini/Tototopi	wca_yae	Yanomam	Brazil
YanomamaP	Yanomama of Papiu	wca_yma	Yanomam	Brazil
Yanomami	Yanomámi	wca	Yanomam	Brazil
YanomamiP	Yanomamɨ of Parawau	guu_par	Yanomam	Brazil
YanomamiV	Yanomamɨ of Venezuela	guu_ven	Yanomam	Venezuela
Yanomamo	Yanomamö	guu	Yanomam	Venezuela, Brazil
YaroameS	Yãroamë of Serra do Pacu/Ajarani	yrm_pac	Yanomam	Brazil
Yavitero	Yavitero	yvt	Arawak	Venezuela
Yawalapiti	Yawalapití	yaw	Arawak	Brazil
Yawanawa	Yawanawa	ywn	Panoan	Brazil
Yekwana	Yekwana	mch	Carib	Brazil, Venezuela
Yine	Yine	pib	Arawak	Peru
Yora	Yora	mts	Panoan	Peru
Yucuna	Yucuna	ycn	Arawak	Colombia
Yuhup	Yuhup	yab	Nadahup	Brazil
YukpaIra	Yukpa (de Irapa)	yup_irp	Carib	Venezuela, Colombia
YukpaMa	Yukpa (Macoíta)	yup_mac	Carib	Venezuela
Yuqui	Yuqui	yuq	Tupí	Bolivia
Yurakare	Yurakaré	yuz	Isolate	Bolivia
Yuruti	Yurutí	yui	Tucanoan	Colombia, Brazil
Zoe	Zo'é	pto	Tupí	Brazil
